API Name,Linux On Demand cost,RHEL On Demand cost,SLES On Demand cost,Windows On Demand cost,Windows SQL Web On Demand cost,Windows SQL Std On Demand cost,Windows SQL Ent On Demand cost,Linux SQL Web On Demand cost,Linux SQL Std On Demand cost,Linux SQL Ent On Demand cost
t1.micro,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
t2.2xlarge,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
t2.large,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
t2.medium,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
t2.micro,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
t2.nano,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
t2.small,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
t2.xlarge,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
t3.2xlarge,0.3904,0.5204,0.5404,0.5376,0.6728,1.4976,3.5376,0.5256,1.3504,3.3904
t3.large,0.0976,0.1576,0.1606,0.1252,0.1928,unavailable,unavailable,0.1652,unavailable,unavailable
t3.medium,0.0488,0.1088,0.1118,0.0672,0.1348,unavailable,unavailable,0.1164,unavailable,unavailable
t3.micro,0.0122,0.0722,0.0122,0.0214,0.089,unavailable,unavailable,0.0798,unavailable,unavailable
t3.nano,0.0061,unavailable,0.0061,0.0107,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
t3.small,0.0244,0.0844,0.0554,0.0428,0.1104,unavailable,unavailable,0.092,unavailable,unavailable
t3.xlarge,0.1952,0.2552,0.3202,0.2688,0.3364,0.7488,1.7688,0.2628,0.6752,1.6952
t3a.2xlarge,0.3514,0.4814,0.5014,0.4986,0.6338,1.4586,3.4986,0.4866,1.3114,3.3514
t3a.large,0.0878,0.1478,0.1508,0.1154,0.183,unavailable,unavailable,0.1554,unavailable,unavailable
t3a.medium,0.0439,0.1039,0.1069,0.0623,0.1299,unavailable,unavailable,0.1115,unavailable,unavailable
t3a.micro,0.011,0.071,0.011,0.0202,0.0878,unavailable,unavailable,0.0786,unavailable,unavailable
t3a.nano,0.0055,unavailable,0.0055,0.0101,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
t3a.small,0.022,0.082,0.053,0.0404,0.108,unavailable,unavailable,0.0896,unavailable,unavailable
t3a.xlarge,0.1757,0.2357,0.3007,0.2493,0.3169,0.7293,1.7493,0.2433,0.6557,1.6757
u-12tb1.metal,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
u-18tb1.metal,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
u-24tb1.metal,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
u-6tb1.metal,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
u-9tb1.metal,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
x1.16xlarge,8.003,8.133,8.103,10.947,12.075,18.627,34.947,9.085,15.683,32.003
x1.32xlarge,16.006,16.136,16.106,21.894,24.15,37.254,69.894,18.169,31.366,64.006
x1e.16xlarge,16,16.13,16.1,18.944,20.026,26.624,42.944,17.082,23.68,40
x1e.2xlarge,2,2.13,2.1,2.368,2.503,3.328,5.368,2.135,2.96,5
x1e.32xlarge,32,32.13,32.1,37.888,40.052,53.248,85.888,34.163,47.36,80
x1e.4xlarge,4,4.13,4.1,4.736,5.006,6.656,10.736,4.27,5.92,10
x1e.8xlarge,8,8.13,8.1,9.472,10.013,13.312,21.472,8.541,11.84,20
x1e.xlarge,1,1.06,1.1,1.184,1.252,1.664,2.684,1.068,1.48,2.5
z1d.12xlarge,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
z1d.2xlarge,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
z1d.3xlarge,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
z1d.6xlarge,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
z1d.large,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
z1d.metal,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
z1d.xlarge,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
